name,site_url,feed_url,language,directory_group,status,show_in_directory,include_in_latest,notes
20ily April,https://20ilyapril.wordpress.com/,https://20ilyapril.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
26g,https://26g.netlify.app/,https://26g.netlify.app/feed.xml,Unspecified,alphabetical,included,yes,yes,
82MHz,http://82mhz.net/posts/,http://82mhz.net/index.xml,Unspecified,alphabetical,included,yes,yes,
@thiskurt's blog,https://thiskurt.me,https://thiskurt.me/rss.xml,Unspecified,alphabetical,included,yes,yes,
A 3D Blog for a 3D World,https://kingwilly105.blogspot.com/,https://kingwilly105.blogspot.com/feeds/posts/default,Unspecified,alphabetical,included,yes,yes,
A Boy And His Computer,https://aboyandhiscomputer.org/,https://aboyandhiscomputer.neocities.org/feed.xml,Unspecified,alphabetical,included,yes,yes,
A Day in the Life of Flash,https://adayinthelifeofflash.wordpress.com/,https://adayinthelifeofflash.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
A Geek Girl's Guide,https://ageekgirlsguide.com/,https://ageekgirlsguide.com/feed/,Unspecified,alphabetical,included,yes,yes,
A Green Mushroom,http://www.agreenmushroom.com/,http://www.agreenmushroom.com/feeds/posts/default,Unspecified,alphabetical,included,yes,yes,
A Missioneer in Eve,https://mikeazariah.wordpress.com/,http://mikeazariah.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
A parenthetical departure,https://departure.blog/,https://sylvia.bearblog.dev/feed/,Unspecified,alphabetical,included,yes,yes,
A Vueltas por los Mundos,https://vueltaspodcast.wordpress.com/,https://vueltaspodcast.wordpress.com/blog/feed/,Unspecified,alphabetical,included,yes,yes,
Achille Toupin,https://achilletoupin.com/,https://www.achilletoupin.com/feed.xml,Unspecified,alphabetical,included,yes,yes,
Aeish's Blog Feed :3,https://aeish-world.neocities.org/blog_front,https://aeish-world.neocities.org/feed.txt,Unspecified,alphabetical,included,yes,yes,
Aeternus Gaming,http://aeternusgaming.nl/,http://aeternusgaming.nl/feed/,Unspecified,alphabetical,included,yes,yes,
African Music Forum,https://amf.didiermary.fr/,https://amf.didiermary.fr/feed/,Unspecified,alphabetical,included,yes,yes,
agnes the alien's blog;,https://blog.agnes.love/,https://blog.agnes.love/feed/,Unspecified,alphabetical,included,yes,yes,
Alessandro Cuzzocrea,https://alessandrocuzzocrea.com,https://alessandrocuzzocrea.com/feed.xml,Unspecified,alphabetical,included,yes,yes,
Alex's Review Corner,https://super142.wordpress.com/,https://super142.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Alligators and aneurysms!,https://alligatorsandaneurysms.wordpress.com/,http://alligatorsandaneurysms.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Alvan's digital garden,https://rahim.li/,https://rahim.li/index.xml,Unspecified,alphabetical,included,yes,yes,
Amerpie by Lou Plummer,https://amerpie.lol/,https://amerpie.lol/feed.xml,Unspecified,alphabetical,included,yes,yes,
An Archaeopteryx,https://anarchaeopteryx.bearblog.dev/,https://anarchaeopteryx.bearblog.dev/feed/,Unspecified,alphabetical,included,yes,yes,
Aneesh Sathe,https://aneeshsathe.com/,https://aneeshsathe.com/index.xml,Unspecified,alphabetical,included,yes,yes,
